town_name,loan_amount_000s,applicant_income_000s,occupied_by_owner,loan_purpose_name,loan_approved,denial_reason,co_applicant_sex,co_applicant_race,applicant_sex,applicant_race,applicant_ethnicity
Poway,2065.144095608764,356.9533960874761,0,Home purchase,1,,Male,White,Female,White,Hispanic or Latino
Poway,681.3555045293994,363.1877977920939,1,Home purchase,1,,Female,Black or African American,Male,White,Not Hispanic or Latino
Poway,1170.534176825489,389.67361902824325,1,Home purchase,0,Credit history,Not applicable,No co-applicant,Male,White,Not Hispanic or Latino
Poway,1445.303330515059,337.70641875894574,1,Home purchase,0,Other,Female,White,Female,White,Not Hispanic or Latino
Poway,657.2382690145819,359.01008807113163,1,Home purchase,0,"Insufficient cash (downpayment, closing costs)","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application"
Poway,827.8791627758928,439.3665969871211,1,Home purchase,0,Credit history,No co-applicant,No co-applicant,Male,Asian,Not applicable
Poway,799.05404741667,366.73042741979896,1,Home purchase,1,,No co-applicant,No co-applicant,Female,White,Not Hispanic or Latino
Poway,1376.739253316235,405.2884053676405,1,Refinancing,1,,Male,White,Male,Black or African American,Not Hispanic or Latino
Poway,748.5751890932586,332.30162964957833,1,Home purchase,1,,Female,White,Female,White,Not Hispanic or Latino
Poway,1494.8984340486643,424.8955422573672,1,Home purchase,1,,Female,White,Male,Black or African American,Not Hispanic or Latino
Poway,1139.2577710002856,388.3464253263562,1,Home improvement,0,Debt-to-income ratio,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application"
Poway,2105.9719775511066,410.3454243752635,1,Home improvement,1,,No co-applicant,No co-applicant,Female,White,Not Hispanic or Latino
Poway,1221.1517903979056,443.91283482260053,1,Home purchase,0,Mortgage insurance denied,No co-applicant,No co-applicant,Female,White,Not Hispanic or Latino
Poway,1096.124969951082,406.22009569486187,1,Home purchase,1,,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Female,Black or African American,Not Hispanic or Latino
Poway,1591.7644227315093,397.1596649826041,1,Home purchase,1,,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Female,White,Not Hispanic or Latino
Poway,1359.407392053634,371.81556977665485,1,Home purchase,1,,Female,White,Female,Multiracial,Not applicable
Poway,1139.471965441908,400.5938249339049,1,Home purchase,1,,Female,Asian,Male,American Indian or Alaska Native,Not Hispanic or Latino
Poway,1281.41503208766,369.076161802485,1,Home purchase,0,Other,Female,Black or African American,Male,White,Not applicable
Poway,1366.9386179424573,329.3543360738721,1,Home purchase,0,Other,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Male,White,Not Hispanic or Latino
Poway,1176.6376522029939,323.81766131533163,1,Home purchase,1,,Male,White,Male,White,Not Hispanic or Latino
Poway,1639.46321421106,276.8765721143683,1,Home purchase,0,Debt-to-income ratio,Female,White,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application"
Poway,1572.9018298596848,378.72140681853193,1,Home purchase,0,Credit history,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Female,White,Not Hispanic or Latino
Poway,1254.551606221809,422.78070918308055,1,Home purchase,1,,Male,White,Female,White,Not Hispanic or Latino
